,brand,model,vehicle_age,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats,Owner_type,selling_price
40,Mahindra,Bolero,1,40000,Diesel,Manual,21.0,1498,74.96,7,1,850000
41,Mahindra,KUV100,3,17000,Petrol,Manual,18.15,1198,82.0,5,1,550000
42,Maruti,Baleno,5,22000,Petrol,Manual,15.4,1590,94.0,5,1,625000
43,Maruti,Swift Dzire,5,54000,Petrol,Manual,20.85,1197,83.14,5,1,600000
44,Maruti,Wagon R,2,10000,Petrol,Manual,20.51,998,67.04,5,1,445000
45,Maruti,Ignis,2,20000,Petrol,Manual,20.89,1197,81.8,5,1,530000
46,Maruti,Wagon R,3,53237,CNG,Manual,26.6,998,58.16,5,1,410000
47,Datsun,RediGO,3,27263,Petrol,Manual,22.5,999,68.0,5,1,350000
48,Hyundai,Verna,7,110000,Diesel,Manual,22.32,1582,126.3,5,1,520000
49,Hyundai,i20,5,70000,Diesel,Manual,22.54,1396,88.73,5,2,750000
50,Maruti,Swift Dzire,4,70000,Diesel,Manual,26.59,1248,74.0,5,1,560000
51,Hyundai,i20,2,39000,Petrol,Manual,18.6,1197,81.83,5,1,655000
52,Hyundai,Santro,14,56000,Petrol,Manual,17.8,1086,63.0,5,1,125000
53,Hyundai,i20,3,34000,Petrol,Manual,18.6,1197,81.83,5,3,550000
54,Mahindra,Scorpio,4,50000,Diesel,Manual,15.4,1997,120.0,7,1,1150000
55,Volkswagen,Vento,9,77400,Diesel,Manual,20.54,1598,103.6,5,1,500000
56,Mahindra,Marazzo,2,36000,Diesel,Manual,17.3,1497,121.0,7,2,990000
57,Hyundai,Verna,8,47876,Diesel,Manual,25.0,1493,113.42,5,1,551000
59,Hyundai,Grand,6,75000,Diesel,Manual,24.0,1120,70.0,5,1,350000
60,Ford,Aspire,4,58000,Petrol,Manual,18.16,1196,86.8,5,2,500000
61,Maruti,Swift Dzire,3,30000,Petrol,Manual,21.21,1197,81.8,5,1,575000
62,Hyundai,Grand,3,50000,Diesel,Manual,24.0,1186,73.97,5,1,545000
63,Ford,Figo,4,19093,Petrol,Manual,18.16,1196,86.8,5,1,525000
64,Honda,Amaze,7,50000,Petrol,Manual,18.0,1198,86.7,5,1,400000
65,Maruti,Wagon R,15,37000,Petrol,Manual,14.0,1061,64.0,5,2,155000
66,Maruti,Swift Dzire,5,47000,Diesel,Manual,26.59,1248,74.0,5,3,545000
67,Honda,City,8,70000,Petrol,Manual,16.8,1497,116.3,5,1,545000
68,Renault,KWID,5,25000,Petrol,Manual,25.17,799,53.3,5,2,240000
69,Maruti,Vitara,3,26000,Diesel,Manual,24.3,1248,88.5,5,1,725000
70,Ford,Aspire,4,30000,Petrol,Manual,18.16,1196,86.8,5,1,480000
71,Hyundai,i20,8,15000,Petrol,Manual,18.5,1197,82.9,5,1,375000
73,Tata,Tiago,4,32100,Petrol,Manual,23.84,1199,84.0,5,2,400000
74,Hyundai,i20,5,22000,Petrol,Manual,18.5,1197,82.9,5,1,550000
76,Volkswagen,Polo,5,78000,Petrol,Manual,18.78,1198,74.0,5,1,450000
78,Maruti,Wagon R,7,37000,Petrol,Manual,20.51,998,67.04,5,2,350000
79,Honda,City,7,69000,Diesel,Manual,25.1,1498,98.6,5,2,550000
80,Kia,Seltos,2,12120,Petrol,Manual,16.8,1497,113.4,5,2,1080000
81,Maruti,Baleno,5,52000,Petrol,Manual,21.01,1197,81.8,5,1,575000
83,Maruti,Alto,8,55000,Petrol,Manual,22.74,796,47.3,5,1,230000
85,Ford,Figo,10,40000,Petrol,Manual,15.6,1196,70.0,5,2,130000
86,Maruti,Swift Dzire,9,46000,Petrol,Manual,19.1,1197,85.8,5,2,370000
87,Maruti,Baleno,4,25000,Petrol,Manual,21.4,1197,83.1,5,2,570000
88,Volkswagen,Polo,8,90000,Diesel,Manual,22.07,1199,73.9,5,1,365000
89,Hyundai,i20,9,49566,Petrol,Manual,18.5,1197,82.85,5,2,280000
90,Hyundai,Verna,3,14000,Diesel,Automatic,22.0,1582,126.2,5,2,1250000
91,Hyundai,i20,5,11000,Petrol,Manual,18.6,1197,81.83,5,1,590000
92,Maruti,Celerio,3,5000,Petrol,Automatic,23.1,998,67.04,5,1,475000
93,Ford,Ecosport,4,55000,Diesel,Manual,23.0,1498,98.96,5,1,685000
94,Hyundai,Verna,9,65000,Diesel,Automatic,19.08,1582,126.32,5,1,380000
95,Renault,KWID,3,22000,Petrol,Manual,23.01,999,67.0,5,2,330000
96,Maruti,Baleno,3,7671,Petrol,Manual,21.01,1197,81.8,5,1,650000
97,Maruti,Wagon R,5,66000,Petrol,Manual,20.51,998,67.04,5,1,325000
98,Maruti,Swift Dzire,3,45156,Petrol,Automatic,21.21,1197,81.8,5,1,640000
99,Hyundai,Venue,2,25000,Petrol,Manual,18.27,998,118.35,5,1,949000
100,Hyundai,Verna,6,120000,Diesel,Manual,23.9,1582,126.2,5,1,660000
101,Maruti,Swift,7,28000,Petrol,Manual,16.1,1197,85.0,5,2,435000
102,Hyundai,i20,8,55000,Diesel,Manual,21.9,1396,88.76,5,2,385000
103,Hyundai,Verna,2,14000,Diesel,Automatic,22.0,1582,126.2,5,2,1250000
104,Maruti,Wagon R,12,98780,Petrol,Manual,18.9,998,67.1,5,1,155000
105,Maruti,Swift,6,58000,Diesel,Manual,25.2,1248,74.0,5,3,415000
106,Maruti,Alto,10,30000,Petrol,Manual,20.92,998,67.1,5,2,251000
108,Hyundai,i10,7,32111,Petrol,Manual,19.81,1086,68.05,5,1,310000
109,Datsun,GO,6,35000,Petrol,Manual,19.44,1198,67.0,7,2,350000
110,Mahindra,Scorpio,4,30000,Diesel,Manual,15.4,1997,120.0,7,2,1125000
112,Datsun,GO,3,10000,Petrol,Manual,20.62,1198,67.0,7,1,480000
113,Maruti,Swift Dzire,4,25000,Diesel,Automatic,28.4,1248,74.02,5,1,850000
114,Hyundai,Creta,4,102000,Diesel,Automatic,17.01,1582,126.2,5,1,1100000
115,Maruti,Swift,3,35000,Petrol,Manual,22.0,1197,81.8,5,1,575000
116,Maruti,Swift Dzire,9,49948,Petrol,Manual,17.5,1298,85.8,5,1,340000
117,Ford,Ecosport,3,55000,Diesel,Manual,23.0,1498,98.96,5,2,925000
118,Hyundai,Grand,6,36000,Petrol,Manual,18.9,1197,82.0,5,1,400000
119,Honda,City,5,49625,Petrol,Manual,17.8,1497,117.3,5,2,725000
120,Maruti,Swift Dzire,7,35000,Diesel,Manual,23.4,1248,74.0,5,1,600000
122,Ford,Aspire,4,36000,Diesel,Manual,25.83,1498,99.0,5,2,585000
123,Maruti,Wagon R,2,50000,Petrol,Manual,21.79,998,67.05,5,1,411000
124,Maruti,Swift Dzire,6,26500,Petrol,Manual,20.85,1197,83.14,5,1,450000
125,Honda,CR-V,6,80000,Petrol,Automatic,13.7,1997,153.86,5,2,1290000
126,Volkswagen,Polo,6,46000,Petrol,Manual,16.47,1198,74.0,5,2,455000
127,Hyundai,Grand,2,9000,Petrol,Manual,20.7,1197,81.86,5,2,710000
128,Honda,City,5,53000,Petrol,Manual,16.8,1497,116.3,5,1,770000
130,Honda,Amaze,3,50000,Diesel,Manual,25.8,1498,98.6,5,1,720000
131,Mahindra,KUV,5,52000,Diesel,Manual,25.32,1198,77.0,5,1,375000
132,Datsun,GO,6,35000,Petrol,Manual,19.44,1198,67.0,7,1,400000
133,Renault,Duster,6,48000,Diesel,Manual,19.87,1461,83.8,5,2,600000
134,Honda,Jazz,3,18000,Petrol,Manual,18.7,1199,88.7,5,2,600000
135,Maruti,Wagon R,9,57413,LPG,Manual,14.4,998,61.7,5,1,270000
136,Hyundai,i20,6,30000,Petrol,Manual,18.6,1197,81.83,5,2,500000
137,Hyundai,Verna,6,55000,Diesel,Manual,23.9,1582,126.2,5,2,650000
138,Maruti,Swift,3,10000,Petrol,Automatic,21.21,1197,81.8,5,2,660000
140,Kia,Seltos,1,8000,Petrol,Manual,16.8,1497,113.4,5,1,1275000
141,Maruti,Swift,6,65000,Diesel,Manual,28.4,1248,74.0,5,1,495000
142,Hyundai,Grand,5,25000,Petrol,Manual,18.9,1197,82.0,5,2,475000
143,Maruti,Ciaz,6,70000,Petrol,Manual,20.73,1373,91.1,5,1,530000
144,Tata,Tiago,5,9500,Petrol,Manual,23.84,1199,84.0,5,2,530000
145,Hyundai,Verna,6,9100,Petrol,Manual,17.01,1591,121.3,5,1,650000
146,Honda,City,11,86000,Petrol,Manual,17.0,1497,118.0,5,2,335000
147,Audi,A4,8,78000,Diesel,Automatic,16.55,1968,147.51,5,3,1290000
148,Ford,Figo,10,60000,Diesel,Manual,20.0,1399,68.0,5,2,300000
149,Maruti,Wagon R,2,7883,Petrol,Automatic,21.5,1197,81.8,5,2,550000
150,Maruti,Swift Dzire,8,50205,Diesel,Manual,23.4,1248,74.0,5,1,390000
152,Tata,Tigor,4,58000,Diesel,Manual,24.7,1047,69.0,5,3,395000
154,Maruti,Swift Dzire,3,15000,Petrol,Manual,22.0,1197,81.8,5,2,650000
155,Maruti,Swift,5,71245,Diesel,Manual,28.4,1248,74.0,5,1,375000
156,Kia,Seltos,2,7000,Petrol,Manual,16.1,1353,138.0,5,1,1300000
157,Maruti,Alto,3,20000,Petrol,Manual,23.95,998,67.05,5,1,360000
158,Maruti,Celerio,1,8700,Petrol,Manual,21.63,998,67.04,5,1,505000
159,Maruti,Alto,2,25000,Petrol,Manual,24.7,796,47.3,5,1,310000
160,Hyundai,i20,6,42000,Petrol,Manual,18.6,1197,81.86,5,1,545000
162,Maruti,Baleno,3,50000,Petrol,Manual,21.4,1197,83.1,5,3,580000
163,Maruti,Wagon R,10,58000,Petrol,Manual,18.9,998,67.1,5,1,250000
164,Hyundai,Verna,4,36000,Petrol,Manual,17.43,1396,105.5,5,2,650000
165,Maruti,Ertiga,3,30000,Diesel,Manual,25.47,1248,88.5,7,1,410000
167,Ford,Ecosport,3,7500,Diesel,Manual,23.0,1498,98.96,5,2,890000
170,Ford,Figo,9,74000,Diesel,Manual,20.0,1399,68.05,5,1,185000
172,Hyundai,i20,6,50000,Petrol,Manual,18.6,1197,81.83,5,2,450000
173,Maruti,Baleno,4,100000,Petrol,Manual,21.4,1197,83.1,5,2,600000
174,Maruti,Celerio,7,35000,Petrol,Manual,23.1,998,67.04,5,1,320000
175,Hyundai,i20,5,50000,Diesel,Manual,21.19,1396,88.73,5,2,700000
176,Ford,Aspire,3,10000,Petrol,Manual,18.16,1196,86.8,5,1,630000
177,Maruti,Alto,5,10370,Petrol,Manual,22.74,796,47.3,5,1,320000
178,Honda,City,8,62000,Petrol,Manual,16.8,1497,116.3,5,1,465000
179,Hyundai,i20,5,40000,Petrol,Manual,18.6,1197,81.83,5,2,550000
180,Maruti,Swift,4,60000,Petrol,Manual,22.0,1197,81.8,5,1,445000
183,Honda,City,7,63000,Diesel,Manual,26.0,1498,98.6,5,2,475000
185,Honda,City,10,55000,Petrol,Manual,16.9,1497,100.0,5,2,350000
186,Hyundai,i20,5,11000,Petrol,Manual,18.6,1197,81.83,5,2,575000
187,Renault,KWID,4,17000,Petrol,Manual,23.01,999,67.0,5,1,360000
188,Maruti,Alto,4,25000,Petrol,Manual,24.7,796,47.3,5,1,275000
189,Datsun,GO,5,33350,Petrol,Manual,19.44,1198,67.0,7,1,320000
190,Hyundai,Grand,6,62000,Petrol,Manual,18.9,1197,82.0,5,1,370000
191,Maruti,Swift Dzire,12,59000,Petrol,Manual,17.5,1298,85.8,5,2,275000
192,Honda,City,7,86113,Petrol,Manual,17.4,1497,117.3,5,3,550000
193,Maruti,Swift Dzire,3,10000,Diesel,Manual,28.4,1248,74.02,5,2,750000
194,Maruti,Wagon R,6,92537,Petrol,Manual,20.51,998,67.04,5,1,272000
195,Maruti,Ciaz,2,27645,Diesel,Manual,28.09,1248,88.5,5,2,951000
196,Maruti,Alto,8,46242,Petrol,Manual,20.92,998,67.1,5,1,280000
197,Honda,City,8,70000,Petrol,Manual,16.8,1497,116.3,5,2,545000
198,Renault,KWID,1,6000,Petrol,Manual,22.3,799,53.26,5,2,450000
199,Hyundai,i20,4,64000,Petrol,Manual,18.6,1197,81.83,5,1,480000
200,Mahindra,Scorpio,4,93000,Diesel,Manual,15.4,1997,120.0,7,1,1060000
201,Maruti,Alto,8,26200,Petrol,Manual,22.74,796,47.3,5,1,235000
202,Maruti,Baleno,4,25000,Petrol,Manual,21.4,1197,83.1,5,2,590000
204,Hyundai,Santro,13,80000,Petrol,Manual,17.92,1086,62.1,5,1,110000
207,Honda,City,3,25000,Petrol,Manual,17.4,1497,117.3,5,1,750000
208,Hyundai,Grand,6,36000,Petrol,Manual,18.9,1197,81.86,5,1,400000
209,Maruti,Swift Dzire,6,40000,Diesel,Manual,26.59,1248,74.0,5,2,530000
211,Renault,KWID,3,30038,Petrol,Manual,25.17,799,53.3,5,1,295000
212,Tata,Tiago,4,53000,Diesel,Manual,27.28,1047,69.0,5,1,370000
213,Maruti,Swift,3,5000,Petrol,Manual,21.21,1197,81.8,5,1,530000
214,Renault,KWID,4,35000,Petrol,Automatic,24.04,999,67.0,5,1,350000
215,Ford,Ecosport,8,62000,Diesel,Manual,22.7,1498,89.84,5,1,470000
216,Ford,Aspire,6,42000,Diesel,Manual,25.83,1498,99.0,5,2,390000
219,Hyundai,Verna,7,45000,Diesel,Manual,22.32,1582,126.32,5,2,635000
221,Maruti,Alto,3,12000,Petrol,Manual,24.7,796,47.3,5,1,300000
222,Honda,City,3,12000,Petrol,Automatic,18.0,1497,117.6,5,1,960000
223,Maruti,Vitara,3,15000,Diesel,Manual,24.3,1248,88.5,5,1,750000
224,Volkswagen,Polo,10,63000,Petrol,Manual,16.47,1198,73.9,5,1,249000
227,Hyundai,Verna,7,120000,Diesel,Manual,22.32,1582,126.32,5,2,610000
228,Ford,Ecosport,5,78247,Diesel,Manual,21.7,1498,98.96,5,2,545000
229,Hyundai,Verna,8,113000,Diesel,Manual,22.32,1582,126.3,5,1,480000
230,Hyundai,i20,7,52000,Petrol,Manual,18.6,1197,81.83,5,2,395000
232,Hyundai,Grand,4,90000,Petrol,Manual,18.9,1197,82.0,5,2,470000
233,Volkswagen,Polo,10,98000,Diesel,Manual,22.07,1199,73.9,5,1,200000
234,Hyundai,i20,5,20000,Diesel,Manual,21.19,1396,88.73,5,2,699000
235,Maruti,Wagon R,7,21717,Petrol,Manual,20.51,998,67.04,5,1,340000
236,Renault,Duster,7,40000,Diesel,Manual,20.45,1461,83.8,5,2,500000
237,Honda,City,4,50000,Petrol,Manual,17.14,1497,117.6,5,2,1050000
238,Renault,Duster,5,90000,Diesel,Manual,19.6,1461,108.45,5,1,600000
239,Maruti,Swift,4,27876,Petrol,Manual,20.4,1197,81.8,5,1,491000
241,Hyundai,i10,13,57215,Petrol,Manual,20.36,1197,78.9,5,1,160000
242,Hyundai,Venue,2,5400,Petrol,Manual,18.27,998,118.35,5,3,985000
243,Maruti,Swift Dzire,7,60000,Diesel,Manual,23.4,1248,74.0,5,1,500000
244,Tata,Tiago,4,24800,Petrol,Manual,23.84,1199,84.0,5,2,335000
245,Maruti,Alto,16,70000,Petrol,Manual,19.7,796,46.3,5,1,85000
246,Honda,Jazz,3,20000,Petrol,Automatic,17.1,1199,88.51,5,3,740000
247,Maruti,Swift,8,34553,Petrol,Manual,22.0,1197,81.8,5,1,375000
248,Maruti,Vitara,3,40000,Diesel,Manual,24.3,1248,88.5,5,2,810000
250,Maruti,Vitara,4,50000,Diesel,Manual,24.3,1248,88.5,5,3,700000
251,Mahindra,KUV,5,70000,Diesel,Manual,25.32,1198,77.0,6,1,310000
252,Mahindra,Scorpio,4,120000,Diesel,Manual,15.4,1997,120.0,7,1,850000
253,Hyundai,i20,8,90000,Diesel,Manual,22.54,1396,88.76,5,1,285000
254,Maruti,Swift Dzire,7,120000,Diesel,Manual,23.4,1248,74.0,5,2,450000
255,Hyundai,Creta,4,80000,Diesel,Manual,19.67,1582,126.2,5,2,1100000
256,Mahindra,Scorpio,4,30000,Diesel,Manual,15.4,1997,120.0,7,1,1080000
257,Honda,City,7,66100,Diesel,Manual,26.0,1498,98.6,5,1,530000
258,Maruti,Swift Dzire,4,50000,Diesel,Manual,28.4,1248,74.02,5,2,680000
259,Mahindra,Scorpio,4,42000,Diesel,Manual,15.4,1997,120.0,7,1,1025000
260,Hyundai,i20,4,55000,Petrol,Manual,18.6,1197,81.83,5,1,650000
261,Hyundai,i10,9,110699,Petrol,Manual,20.36,1197,78.9,5,1,194000
262,Maruti,Baleno,2,5000,Petrol,Automatic,21.4,1197,83.1,5,2,686000
263,Maruti,Alto,5,50000,Petrol,Manual,22.74,796,47.3,5,1,200000
264,Maruti,Swift Dzire,11,44000,Petrol,Manual,19.1,1197,85.8,5,1,250000
265,Maruti,Vitara,3,90000,Diesel,Manual,24.3,1248,88.5,5,3,730000
266,Hyundai,Verna,5,55000,Petrol,Manual,17.01,1591,121.3,5,1,650000
267,Maruti,Vitara,4,45000,Diesel,Manual,24.3,1248,88.5,5,1,790000
268,Maruti,Baleno,4,30000,Petrol,Manual,21.4,1197,83.1,5,1,620000
269,Hyundai,Verna,8,50000,Petrol,Manual,17.01,1591,121.3,5,1,510000
270,Maruti,Eeco,8,20000,Petrol,Manual,15.37,1196,73.0,5,2,375000
271,Maruti,Swift Dzire,4,19843,Petrol,Automatic,21.21,1197,81.8,5,2,620000
274,Honda,City,5,40000,Petrol,Automatic,18.0,1497,117.3,5,1,845000
275,Maruti,Swift Dzire,7,61500,Diesel,Manual,23.4,1248,74.0,5,1,390000
276,Honda,Amaze,6,59000,Petrol,Manual,18.0,1198,86.7,5,2,395000
277,Hyundai,Grand,3,40000,Petrol,Manual,18.9,1197,81.86,5,2,450000
279,Hyundai,Grand,8,61000,Petrol,Manual,18.9,1197,82.0,5,2,325000
280,Mahindra,KUV,5,70000,Diesel,Manual,25.32,1198,77.0,6,2,350000
283,Maruti,Swift Dzire,4,22000,Diesel,Manual,28.4,1248,74.02,5,2,750000
284,Honda,City,11,57977,Petrol,Manual,17.0,1497,118.0,5,1,299000
287,Maruti,Ertiga,7,48242,Diesel,Manual,20.77,1248,88.76,7,2,524000
288,Ford,Figo,9,68000,Diesel,Manual,20.0,1399,68.05,5,2,169000
289,Maruti,Ertiga,7,40000,Diesel,Manual,20.77,1248,88.8,7,2,500000
291,Maruti,Swift Dzire,8,113450,Diesel,Manual,23.4,1248,74.0,5,2,380000
292,Maruti,Wagon R,3,80000,Petrol,Automatic,20.51,998,67.0,5,2,400000
293,Hyundai,Santro,1,1000,Petrol,Automatic,20.3,1086,68.0,5,1,565000
294,Maruti,Wagon R,6,20292,Petrol,Manual,20.51,998,67.04,5,1,335000
296,Mahindra,Scorpio,6,40000,Diesel,Manual,15.4,1997,120.0,7,3,1051000
297,Hyundai,Grand,4,60000,Diesel,Manual,24.0,1186,73.97,5,2,510000
298,Renault,KWID,3,25000,Petrol,Automatic,24.04,999,67.0,5,1,370000
299,Maruti,Wagon R,15,70000,Petrol,Manual,18.9,998,67.1,5,1,200000
300,Maruti,Baleno,3,21000,Diesel,Manual,27.39,1248,74.0,5,3,625000
302,Hyundai,Creta,4,30000,Petrol,Manual,15.8,1591,121.3,5,1,890000
303,Hyundai,Verna,9,61000,Diesel,Manual,22.32,1582,126.3,5,1,420000
304,Maruti,Swift,4,5743,Petrol,Manual,20.4,1197,83.11,5,2,500000
305,Hyundai,Grand,3,24200,Petrol,Manual,18.9,1197,81.86,5,1,600000
306,Maruti,Baleno,4,57000,Diesel,Manual,27.39,1248,74.0,5,1,590000
307,Hyundai,i10,10,58000,Petrol,Manual,20.36,1197,78.9,5,1,190000
308,Datsun,GO,4,15000,Petrol,Manual,19.44,1198,67.0,7,2,500000
309,Maruti,Celerio,4,10000,Petrol,Manual,23.1,998,67.04,5,1,450000
312,Maruti,Wagon R,1,10000,Petrol,Manual,20.52,1197,81.8,5,1,500000
313,Maruti,Alto,12,43000,Petrol,Manual,19.7,796,46.3,5,1,140000
314,Honda,Amaze,8,64000,CNG,Manual,18.0,1198,86.7,5,3,349000
315,Maruti,Wagon R,7,30000,Petrol,Manual,20.51,998,67.06,5,2,325000
316,Honda,City,7,63000,Petrol,Manual,17.8,1497,117.3,5,2,435000
319,Honda,City,4,32226,Petrol,Manual,17.8,1497,117.3,5,1,755000
320,Maruti,Alto,7,65000,Petrol,Manual,23.95,998,67.05,5,1,245000
321,Kia,Seltos,2,14000,Diesel,Manual,20.8,1493,113.4,5,2,1350000
322,Renault,KWID,3,15000,Petrol,Automatic,24.04,999,67.0,5,1,310000
324,Maruti,Swift Dzire,3,32000,Diesel,Manual,19.3,1248,73.9,5,1,675000
325,Maruti,Wagon R,2,30000,Petrol,Manual,20.52,1197,81.8,5,1,500000
326,Hyundai,i10,11,25000,Petrol,Manual,20.36,1197,78.9,5,1,300000
329,Ford,Ecosport,7,65597,Diesel,Manual,22.7,1498,89.84,5,2,575000
330,Hyundai,i20,4,35000,Petrol,Manual,18.6,1197,81.83,5,2,550000
332,Maruti,Baleno,1,7124,Petrol,Manual,21.01,1197,81.8,5,2,643000
333,Ford,Ecosport,2,15000,Petrol,Manual,18.1,999,123.24,5,1,1000000
334,Hyundai,Grand,5,34000,Petrol,Manual,18.9,1197,82.0,5,1,550000
336,Tata,Tigor,3,40000,Petrol,Manual,20.3,1199,84.0,5,2,470000
337,Honda,City,7,77000,Diesel,Manual,26.0,1498,98.6,5,1,525000
338,Datsun,GO,4,15000,Petrol,Manual,19.44,1198,67.0,7,2,469000
339,Maruti,Alto,9,60000,Petrol,Manual,20.92,998,67.1,5,1,210000
340,Maruti,Alto,8,120000,Petrol,Manual,22.74,796,47.3,5,2,200000
341,Renault,KWID,2,2500,Petrol,Manual,23.01,999,67.0,5,2,400000
343,Maruti,Celerio,5,46500,Petrol,Manual,23.1,998,67.04,5,2,340000
344,Maruti,Alto,16,5000,Petrol,Manual,19.7,796,46.3,5,1,95000
345,Maruti,Swift,9,68000,Diesel,Manual,22.9,1248,74.0,5,3,381000
347,Maruti,Swift Dzire,4,20000,Diesel,Manual,28.4,1248,74.02,5,2,700000
348,Maruti,Ciaz,4,106000,Diesel,Manual,28.09,1248,88.5,5,1,675000
349,Honda,City,6,28000,Petrol,Automatic,18.0,1497,117.3,5,1,670000
352,Honda,City,10,55000,Petrol,Manual,17.0,1497,118.0,5,1,360000
353,Ford,Figo,4,53000,Diesel,Manual,25.83,1498,99.0,5,2,400000
354,Hyundai,Verna,7,89000,Diesel,Manual,22.32,1582,126.32,5,1,470000
355,Maruti,Alto,3,22000,Petrol,Manual,24.7,796,47.3,5,2,304000
356,Honda,City,7,69000,Diesel,Manual,26.0,1498,98.6,5,1,490000
359,Maruti,Wagon R,2,3600,Petrol,Automatic,20.52,1197,81.8,5,2,575000
360,Maruti,Baleno,2,5000,Petrol,Automatic,21.4,1197,83.1,5,1,686000
364,Maruti,Swift,2,44000,Diesel,Manual,28.4,1248,74.0,5,1,800000
365,Maruti,Baleno,3,10000,Petrol,Automatic,21.4,1197,83.1,5,1,680000
368,Ford,Ecosport,2,22346,Petrol,Manual,17.0,1497,121.36,5,2,955000
369,Hyundai,i20,9,120000,Diesel,Manual,21.9,1396,90.0,5,1,350000
370,Maruti,Vitara,1,1000,Petrol,Manual,17.03,1462,103.26,5,2,800000
371,Maruti,Alto,16,56700,Petrol,Manual,19.7,796,46.3,5,1,75000
373,Mahindra,Marazzo,2,60000,Diesel,Manual,17.3,1497,121.0,8,2,1476000
374,Honda,Jazz,3,40000,Petrol,Automatic,18.2,1199,88.7,5,1,670000
375,Maruti,Alto,9,28000,Petrol,Manual,19.7,796,46.3,5,1,180000
376,Hyundai,Grand,4,35000,Petrol,Manual,18.9,1197,81.86,5,2,490000
377,Maruti,Baleno,4,20000,Petrol,Manual,21.4,1197,83.1,5,1,550000
378,Hyundai,i10,7,40000,Petrol,Manual,20.36,1197,78.9,5,1,350000
380,Ford,Figo,9,74000,Diesel,Manual,20.0,1399,68.05,5,1,190000
381,Renault,Duster,7,46500,Diesel,Manual,20.45,1461,83.8,5,2,460000
382,Maruti,Swift,2,8000,Petrol,Automatic,21.21,1197,81.8,5,2,650000
383,Maruti,Ciaz,5,120000,Diesel,Manual,28.09,1248,88.5,5,1,700000
384,Maruti,Swift,4,34000,Petrol,Manual,20.4,1197,81.8,5,1,455000
385,Maruti,Swift,7,54000,Petrol,Manual,22.0,1197,81.8,5,1,365000
386,Maruti,Swift Dzire,7,11275,Petrol,Manual,19.1,1197,85.8,5,2,470000
388,Maruti,Swift,9,48000,Diesel,Manual,22.9,1248,74.0,5,1,400000
